[1.e+08 1.e-44]
[1.14020860e+08 8.80140897e-48]
[1.14020860e+08 8.80140897e-48]
[1.14147741e+08 1.08842849e-47]
[1.14147741e+08 1.08842849e-47]
[1.14147741e+08 1.08842849e-47]
[1.12705506e+08 1.55770982e-47]
[1.14700761e+08 1.48322634e-47]
[1.14700761e+08 1.48322634e-47]
[1.14700761e+08 1.48322634e-47]
[1.14700761e+08 1.48322634e-47]
[1.15297153e+08 1.50630645e-47]
[1.15002092e+08 1.10585169e-47]
[1.15002092e+08 1.10585169e-47]
[1.15002092e+08 1.10585169e-47]
[1.15002092e+08 1.10585169e-47]
[1.14315234e+08 1.05106077e-47]
[1.14315234e+08 1.05106077e-47]
[1.14315234e+08 1.05106077e-47]
[1.14315234e+08 1.05106077e-47]
[1.14315234e+08 1.05106077e-47]
[1.12972609e+08 1.71976625e-47]
[1.12972609e+08 1.71976625e-47]
[1.12972609e+08 1.71976625e-47]
[1.12972609e+08 1.71976625e-47]
[1.12972609e+08 1.71976625e-47]
[1.13017737e+08 2.16732893e-47]
[1.12333372e+08 1.79711902e-47]
[1.13499434e+08 1.53115702e-47]
[1.14846315e+08 1.30740124e-47]
[1.14846315e+08 1.30740124e-47]
[1.13654740e+08 1.42125036e-47]
[1.13136614e+08 1.36039435e-47]
[1.15313883e+08 1.03006376e-47]
[1.15313883e+08 1.03006376e-47]
[1.15800252e+08 1.08387342e-47]
[1.14944189e+08 1.17733676e-47]
[1.14944189e+08 1.17733676e-47]
[1.14944189e+08 1.17733676e-47]
[1.15264290e+08 1.04571788e-47]
[1.15387523e+08 1.13865425e-47]
[1.15093182e+08 1.33255751e-47]
[1.15093182e+08 1.33255751e-47]
[1.15093182e+08 1.33255751e-47]
[1.15093182e+08 1.33255751e-47]
[1.15864161e+08 1.33545076e-47]
[1.15950291e+08 1.53023810e-47]
[1.16251075e+08 1.27723012e-47]
[1.15261126e+08 1.10243983e-47]
[1.15261126e+08 1.10243983e-47]
[1.15261126e+08 1.10243983e-47]
[1.16025684e+08 1.41516836e-47]
[1.16035993e+08 1.05042765e-47]
[1.16035993e+08 1.05042765e-47]
[1.16281311e+08 1.07643336e-47]
[1.16281311e+08 1.07643336e-47]
[1.15172519e+08 1.06346788e-47]
[1.15172519e+08 1.06346788e-47]
[1.15172519e+08 1.06346788e-47]
[1.14074623e+08 1.13855027e-47]
[1.14074623e+08 1.13855027e-47]
[1.12427078e+08 1.07873726e-47]
[1.12427078e+08 1.07873726e-47]
[1.12427078e+08 1.07873726e-47]
[1.12427078e+08 1.07873726e-47]
[1.12427078e+08 1.07873726e-47]
[1.13024753e+08 1.25696972e-47]
[1.11325806e+08 1.01734359e-47]
[1.11325806e+08 1.01734359e-47]
[1.11325806e+08 1.01734359e-47]
[1.11325806e+08 1.01734359e-47]
[1.11079065e+08 1.62843019e-47]
[1.11079065e+08 1.62843019e-47]
[1.11873517e+08 1.31903143e-47]
[1.11873517e+08 1.31903143e-47]
[1.11873517e+08 1.31903143e-47]
[1.12146273e+08 1.34671778e-47]
[1.12146273e+08 1.34671778e-47]
[1.12146273e+08 1.34671778e-47]
[1.12971561e+08 1.06830496e-47]
[1.12971561e+08 1.06830496e-47]
[1.11812951e+08 1.27686944e-47]
[1.10495748e+08 1.04898660e-47]
[1.10495748e+08 1.04898660e-47]
[1.10495748e+08 1.04898660e-47]
[1.10495748e+08 1.04898660e-47]
[1.09448472e+08 7.82953502e-48]
[1.09448472e+08 7.82953502e-48]
[1.09448472e+08 7.82953502e-48]
[1.09348100e+08 8.09540461e-48]
[1.08831417e+08 1.02650946e-47]
[1.08751233e+08 7.09893752e-48]
[1.08741269e+08 7.42945962e-48]
[1.09686645e+08 9.59167663e-48]
[1.09686645e+08 9.59167663e-48]
[1.09607143e+08 1.15783874e-47]
[1.11811970e+08 1.26156703e-47]
[1.11364806e+08 1.21593046e-47]
[1.11364806e+08 1.21593046e-47]
[1.11364806e+08 1.21593046e-47]
[1.10997311e+08 1.03865226e-47]
[1.10395649e+08 1.03835997e-47]
[1.10395649e+08 1.03835997e-47]
[1.10395649e+08 1.03835997e-47]
[1.10395649e+08 1.03835997e-47]
[1.10579814e+08 1.09596029e-47]
[1.10121885e+08 1.09971516e-47]
[1.08721372e+08 1.07448910e-47]
[1.08721372e+08 1.07448910e-47]
[1.08721372e+08 1.07448910e-47]
[1.08721372e+08 1.07448910e-47]
[1.07787717e+08 1.20261697e-47]
[1.07787717e+08 1.20261697e-47]
[1.07787717e+08 1.20261697e-47]
[1.07787717e+08 1.20261697e-47]
[1.07787717e+08 1.20261697e-47]
[1.10466719e+08 9.34612734e-48]
[1.10464163e+08 9.73935463e-48]
[1.10464163e+08 9.73935463e-48]
[1.10464163e+08 9.73935463e-48]
[1.10464163e+08 9.73935463e-48]
[1.11966315e+08 1.02920825e-47]
[1.11966315e+08 1.02920825e-47]
[1.11966315e+08 1.02920825e-47]
[1.11966315e+08 1.02920825e-47]
[1.11966315e+08 1.02920825e-47]
[1.12143748e+08 7.57523464e-48]
[1.12143748e+08 7.57523464e-48]
[1.12357723e+08 9.36465294e-48]
[1.12357723e+08 9.36465294e-48]
[1.12357723e+08 9.36465294e-48]
[1.13663641e+08 7.92138635e-48]
[1.12384742e+08 9.69655210e-48]
[1.12384742e+08 9.69655210e-48]
[1.11153827e+08 1.14125651e-47]
[1.11153827e+08 1.14125651e-47]
[1.10646910e+08 1.22312272e-47]
[1.10646910e+08 1.22312272e-47]
[1.09952977e+08 1.13199856e-47]
[1.09952977e+08 1.13199856e-47]
[1.09952977e+08 1.13199856e-47]
[1.09155594e+08 1.54264816e-47]
[1.08268428e+08 1.25993663e-47]
[1.08268428e+08 1.25993663e-47]
[1.08268428e+08 1.25993663e-47]
[1.05989109e+08 1.11891126e-47]
